,Image,F1,Jaccard,Recall,Precision
307,images\1662.png,0.88125,0.7877094972067039,0.9929577464788732,0.7921348314606742
308,images\1739.png,0.9320872274143303,0.8728121353558926,0.9986648865153538,0.8738317757009346
309,images\557.png,0.8974688974688975,0.8140077821011673,0.8709408825978351,0.9256637168141593
310,images\2718.png,0.9063867016622922,0.8288,0.8354838709677419,0.9904397705544933
311,images\2172.png,0.8497854077253219,0.7388059701492538,0.7593480345158198,0.9646772228989038
312,images\2729.png,0.9234051632174098,0.8577090764962346,0.8618080446037435,0.9944852941176471
313,images\361.png,0.9353070175438597,0.878475798146241,0.8848547717842323,0.9918604651162791
314,images\2647.png,0.0,0.0,0.0,0.0
315,images\2489.png,0.9495657982631931,0.9039745627980922,0.9165054803352676,0.9851004851004851
316,images\822.png,0.44387427838357923,0.2852431986809563,0.9885714285714285,0.28618693134822165
317,images\2305.png,0.7280606717226435,0.5724020442930153,0.5925925925925926,0.9438202247191011
318,images\2655.png,0.7281279397930386,0.5724852071005917,0.5724852071005917,1.0
319,images\2957.png,0.8971344599559148,0.8134576948700866,0.8945054945054945,0.8997789240972734
320,images\1194.png,0.7737430167597765,0.6309794988610479,0.7914285714285715,0.7568306010928961
321,images\2198.png,0.9363500745897564,0.8803179055633473,0.9285009861932939,0.944332998996991
322,images\2497.png,0.037122969837587005,0.018912529550827423,0.09523809523809523,0.023054755043227664
323,images\1867.png,0.8417391304347827,0.7267267267267268,0.9928205128205129,0.730566037735849
324,images\2345.png,0.8908445267870928,0.803173719376392,0.9931153184165232,0.8076707726763718
325,images\1561.png,0.8048048048048048,0.6733668341708543,0.9877149877149877,0.6790540540540541
326,images\3035.png,0.9240646446756697,0.8588477366255144,0.9250886524822695,0.9230429013710747
327,images\2789.png,0.7704182373003051,0.6265693430656935,0.636228876371183,0.9763421292083713
328,images\593.png,0.9631087063453025,0.928842504743833,0.9359464627151052,0.9918946301925026
329,images\2190.png,0.88582549464807,0.7950509461426492,0.8806836504353435,0.8910277324632953
330,images\12.png,0.9767560664112388,0.9545681477783325,0.9942797711908476,0.9598393574297188
331,images\580.png,0.9635922330097088,0.9297423887587822,0.931924882629108,0.9974874371859297
332,images\2006.png,0.8548830811554333,0.7465465465465465,0.8387314439946019,0.8716690042075736
333,images\1902.png,0.9300140911225928,0.8691834942932397,0.8870967741935484,0.9772951628825272
334,images\2825.png,0.8896713615023474,0.8012684989429175,0.979328165374677,0.8150537634408602
335,images\730.png,0.7827692307692308,0.6430738119312437,0.9929742388758782,0.6460132046724225
336,images\3010.png,0.7470588235294118,0.596244131455399,0.5971786833855799,0.9973821989528796
337,images\1616.png,0.8165680473372781,0.69,0.9787234042553191,0.700507614213198
338,images\1590.png,0.8596273291925466,0.7538126361655774,0.9351351351351351,0.7954022988505747
339,images\1087.png,0.13157894736842105,0.07042253521126761,0.09051724137931035,0.2408256880733945
340,images\702.png,0.8703094140882159,0.7703962703962703,0.7869047619047619,0.9734904270986745
341,images\2263.png,0.9644542308902171,0.93134872417983,0.9745708836617928,0.9545454545454546
342,images\479.png,0.9015025041736227,0.8206686930091185,0.8681672025723473,0.9375
343,images\2411.png,0.8456375838926175,0.7325581395348837,0.7555350553505535,0.9601406799531067
344,images\3029.png,0.0,0.0,0.0,0.0
345,images\1539.png,0.9232311084385648,0.8574087862993298,0.8891891891891892,0.9599833263859942
346,images\3001.png,0.8794386561769083,0.784819734345351,0.9923224568138196,0.789614356624666
347,images\2503.png,0.9137495488993144,0.8411960132890366,0.8896697118763176,0.9391691394658753
348,images\2403.png,0.752548656163114,0.6032689450222882,0.6032689450222882,1.0
349,images\2429.png,0.8154115586690017,0.6883500887049083,0.6891651865008881,0.9982847341337907
350,images\1795.png,0.874859075535513,0.7775551102204409,0.8326180257510729,0.9216152019002375
351,images\2182.png,0.9331022530329289,0.8745938921377517,0.9295580110497238,0.9366736256089074
352,images\1542.png,0.9518931772452899,0.9082024432809773,0.9965530448104175,0.9110644257703081
353,images\1520.png,0.7415730337078652,0.5892857142857143,0.9203187250996016,0.6209677419354839
354,images\246.png,0.8792134831460674,0.7844611528822055,0.945619335347432,0.821522309711286
355,images\250.png,0.9176672384219554,0.8478605388272583,0.9502664298401421,0.8872305140961857
356,images\607.png,0.9418777943368107,0.8901408450704226,0.8951841359773371,0.9937106918238994
357,images\2110.png,0.8472775564409031,0.7350230414746544,0.8598382749326146,0.8350785340314136
358,images\2665.png,0.8722408026755852,0.7734282325029656,0.8348271446862996,0.9131652661064426
359,images\1959.png,0.8169761273209549,0.6905829596412556,0.7403846153846154,0.9112426035502958
360,images\364.png,0.9101844426623897,0.8351729212656365,0.9659574468085106,0.8605003790750568
361,images\2737.png,0.8667529107373868,0.7648401826484018,0.9228650137741047,0.8170731707317073
362,images\162.png,0.9658246656760773,0.9339080459770115,0.9516837481698389,0.9803921568627451
363,images\2372.png,0.515713134568896,0.3474484256243214,0.9142857142857143,0.35914702581369246
364,images\1475.png,0.545,0.3745704467353952,1.0,0.3745704467353952
365,images\2216.png,0.5683544303797469,0.39699381078691426,0.40414041404140416,0.9573560767590619
366,images\873.png,0.8972267536704731,0.8136094674556213,0.8487654320987654,0.9515570934256056
367,images\1094.png,0.3246753246753247,0.1937984496124031,0.25510204081632654,0.44642857142857145
368,images\3060.png,0.8347924315165207,0.7164323800290838,0.7345924453280318,0.9666448659254414
369,images\1638.png,0.9481630598892803,0.9014354066985646,0.9771784232365145,0.9208211143695014
370,images\1748.png,0.9132947976878613,0.8404255319148937,0.9937106918238994,0.8449197860962567
371,images\947.png,0.9127234490010515,0.839458413926499,0.8443579766536965,0.9931350114416476
372,images\1374.png,0.8547854785478548,0.7463976945244957,0.9664179104477612,0.7662721893491125
373,images\1671.png,0.0,0.0,0.0,0.0
374,images\2296.png,0.4822790489008524,0.3177652970736033,0.6672873991309746,0.37759044608359676
375,images\174.png,0.9233347297863427,0.8575875486381322,0.8575875486381322,1.0
376,images\1868.png,0.9436964504283966,0.8933951332560834,0.921146953405018,0.9673776662484316
377,images\2867.png,0.9479399552858512,0.9010321797207043,0.9743926460932371,0.9228855721393034
378,images\1602.png,0.9464701318851824,0.898379970544919,0.976,0.9186746987951807
379,images\1093.png,0.7955390334572491,0.6604938271604939,0.8199233716475096,0.7725631768953068
380,images\660.png,0.9652620760534429,0.9328565752880413,0.9494541043267287,0.9816053511705686
381,images\870.png,0.9317023445463812,0.8721374045801527,0.8805394990366089,0.9891774891774892
382,images\93.png,0.8027812895069533,0.6705385427666315,0.9784283513097073,0.6806002143622722
383,images\1141.png,0.9512437810945273,0.9070208728652751,0.9579158316633266,0.9446640316205533
384,images\1710.png,0.9465648854961832,0.8985507246376812,0.9470468431771895,0.9460834181078331
385,images\1098.png,0.776908023483366,0.6352,0.9875621890547264,0.6403225806451613
386,images\2771.png,0.8077826232807782,0.6775464265616207,0.7231231231231231,0.9148936170212766
387,images\1170.png,0.9663439372982942,0.9348795718108831,0.9579524680073126,0.9748837209302326
388,images\2159.png,0.8395904436860068,0.7235294117647059,0.9283018867924528,0.7663551401869159
389,images\1793.png,0.8493975903614458,0.7382198952879581,0.7704918032786885,0.9463087248322147
390,images\1500.png,0.9612068965517241,0.9253112033195021,0.976998904709748,0.9459172852598091
391,images\1907.png,0.9447388342165026,0.8952654232424677,0.923760177646188,0.9666924864446166
392,images\2654.png,0.8499655884377151,0.7390783961699581,0.7435279951836243,0.9919678714859438
393,images\2831.png,0.34526005164146073,0.2086491306286224,0.3996584116140051,0.3038961038961039
394,images\2173.png,0.7608576140736668,0.614019520851819,0.6151111111111112,0.9971181556195965
395,images\894.png,0.8148148148148148,0.6875,0.7058823529411765,0.9635036496350365
396,images\1800.png,0.8768267223382046,0.7806691449814126,0.7806691449814126,1.0
397,images\1129.png,0.9214840379637619,0.8544,0.9143835616438356,0.928695652173913
398,images\621.png,0.9365750528541226,0.8807157057654076,0.9630434782608696,0.911522633744856
399,images\1174.png,0.97856477166822,0.958029197080292,0.9615384615384616,0.9962049335863378
400,images\3042.png,0.3791917454858126,0.2339522546419098,0.623321554770318,0.27247451343836887
401,images\879.png,0.9405099150141643,0.8877005347593583,1.0,0.8877005347593583
402,images\3056.png,0.8182184602982668,0.6923601637107776,0.9825750242013552,0.7009668508287292
403,images\2827.png,0.8953880764904387,0.8105906313645621,0.9900497512437811,0.8172484599589322
404,images\91.png,0.8848167539267016,0.7934272300469484,0.9037433155080213,0.8666666666666667
405,images\145.png,0.9112188597224544,0.836916461916462,0.9833994947672321,0.8489096573208723
406,images\1765.png,0.7047619047619048,0.5441176470588235,0.925,0.5692307692307692
407,images\2249.png,0.6264274061990212,0.45605700712589076,0.45605700712589076,1.0
408,images\2548.png,0.8941649899396378,0.8085880640465793,0.8085880640465793,1.0
409,images\2964.png,0.8997067448680351,0.8176972281449894,0.9319562575941677,0.8696145124716553
410,images\2486.png,0.8838740009402914,0.7919123841617524,0.811044003451251,0.9710743801652892
411,images\964.png,0.9260869565217391,0.8623481781376519,0.9403973509933775,0.9122055674518201
412,images\1316.png,0.9002695417789758,0.8186274509803921,1.0,0.8186274509803921
